No,GK,GK1,GK2,GK3,GEO,GEO1,GEO2,GEO3,SCI,SCI1,SCI2,SCI3,HIS,HIS1,HIS2,HIS3,MAT,MAT1,MAT2,MAT3,ENG,ENG,ENG2,ENG3
189,What colour are sapphires?,Red,[Blue],Purple,What is an eroded opening through a headland known as? ,Archway ,[Arch],Tunnel,What is the study of animals called?,Animalology,[Zoology],Biology,In what year did Brian Boru defeat the Vikings?,1016,1015,[1014],"When dealing with measures of variability, what does IQR stand for?",[Interquartile range],X,X,The character Shylock In the Merchant of Venice was Jewish. True or False?,[TRUE],FALSE,X
190,Feline means relating to what sort of animal?,Dogs,[Cats],Birds,What is a piece of rock left standing separate from the shoreline called? ,Sea Tower,[Sea Stack],Sea Mountain,If a human had an XY chromosome would they be male or female?,[Male],Female,X,In what year were the Statutes of Kilkenny formed?,1365,1370,[1367],"In complex  numbers, what is 'i' equal to?",[√ - 1],-1,1,Brighton Square in Dublin is the birth place of which Irish writer?,[James Joyce],Seamus Heaney,Roddy Doyle
191,What colour are emeralds?,Blue,[Green],Red,What is the movement of material along the coastline known as?,Coastal Movement,[Longshore Drift],Sea Drift,If a human had an XX chromosome would they be male or female?,[Female],Male,X,Under the reign of which British Monarch did the Laois-Offaly plantation occur?,King Henry VIII,Queen Elizabeth I,[Queen Mary I],True or False? Real numbers are a subset of complex  numbers?,[TRUE],FALSE,X,The Artful dodger is a character from which Charles Dickens Novel?,[Oliver Twist],A Christmas Carol,The Pickwick Papers
192,Which leaves can be used to soothe the pain from stinging nettles?,Oak Leaves,[Dock Leaves],Laurel Leaves,What is the movement of waves up the beach defined as? ,Spray,[Swash],Splash,The pituitary gland is attached to which body organ?,[Brain],Heart,Bladder,"In what century did the ""Flight of the Earls"" occur?",16trh Century,18th Century,[17th Century],What is the name of the diagram on which complex  numbers can be represented?,[The Argand Diagram],Butterfly Diagram,Hasse Diagram,What does PS stand for at the end of a letter?,[Postscript],Post story,Postscore
193,Is an oak a deciduous tree?,No,[Yes],X,What is an area of eroded material deposited on the coastline known as? ,Shoreline,[Beach],Coast,What is the lightest known gas?,[Hydrogen],Oxygen,Helium,In 1649 which British leader invaded Ireland?,King James VI,Sir Walter Raleigh,[Oliver Cromwell],Which part of the equation (a  +  bi)  is called the real part?,[a],b,i,Dracula was the most famous characters of which Irish Writer?,[Bram Stoker],Mary Shelley,Edgar Allen Poe
194,Which chess piece can only move diagonally?,The Knight,[The Bishop],The Queen,What is a concrete wall built along the coastline to protect from sea action called? ,Breaker,[Sea Wall],Ocean Block,Sodium Chloride is the name for which household product?,[Salt],Pepper,Baking Soda,The Penal Code was enacted in what century?,17th Century,19th Century,[18th Century],"In complex  numbers, is √36 √ - 1  = 6i?",[Yes],No,X,"Who wrote the ""Ballad of Reading Gaol""?",[Oscar Wilde],Mark Twain,W B Yeats
195,How many holes are there on a standard golf course?,9,[18],20,What are cities with over 1 million inhabitants known as? ,Epicentres,[Million Cities],Highly Populated Cities,What is the PH of distilled water?,[7],4,6,Wolfe Tone's uprising was crushed in what year?,1790,1801,[1798],"In probability, writing down all possible outcomes is know as what?",[Systematic listing],Finding the rate of probability,Possibility listing ,The poet Robert Burns is of what Nationality?,[Scottish],Irish,English
196,In what stadium do England play their home soccer matches?,Old Trafford,[Wembley],Twickenham,What is an city area where building development needs special permission known as? ,Green Ring,[Green Belt],Green Area,Which gas turns limewater murky?,[Carbon Dioxide],Oxygen,Hydrogen,In what year did the Act of Union cause Ireland to become part of Britain ?,1804,1798,[1801],"If I roll a dice, what are the chances of landing on a prime number?",[3/6 or 1/2],X,X,"""If music be the food of love, play on"" is from which Shakespearean play?",[Twelfth Night],The Tempest,The Two Gentlemen of Verona
197,In what stadium do  Ireland play their home soccer matches?,Croke Park,[Aviva Stadium],Thomond Park,What is an area of undeveloped land within a city known as? ,Green Space,[Green Wedge],Nature Preserve,What effect has acid on litmus?,[It Turns Red],It Turns Green,It Turns Blue,In what year was Daniel O' Connell elected MP?,1828,1830,[1829],"On the probability scale, what does 0.5 mean?",[Even chance],Likely,Impossible,"""The Borstal Boy"" was written by which Irish Author?",[Brendan Behan],Frank McCourt,Elizabeth Bowen
198,In what stadium do France play their home rugby games?,Orange Vélodrome,[Stade de France],Stade Pierre,What is a capital or major city in a country best described as?,Primary City,[Primate City],Prime city,Is codeine a liquid element?,[Yes],No,X,In what year was the Anglo-Irish Treaty signed?,1920,1922,[1921],"In statistics, what are the two types of data that can be collected?",[Categorical and Numerical],X,X,"In Shakespeare Play Macbeth, who kills Macbeth?",[MacDuff],Malcolm,Banquo
199,Which sport takes place in a velodrome?,Skiing,[Cycling],Ice Skating,Where is a rural-urban fringe usually found?,City Centre,[Edge of a City],City Suburbs,What percentage of the air is comprised of oxygen?,[21%],33%,39%,In what year did the provisional IRA begin their campaign to oust the British troops?,1969,1968,[1971],What name is given to categorical data that can be ordered in some way?,[Ordinal data],Numbered data,Ordered data,"From which Shakespearean play is this line: ""Something is rotten in the state of Denmark""",[Hamlet],Twelfth Night,King John
200,What term is used in tennis for the score 40-40?,Ace,[Deuce],Break Point,What can the growth and spread of a city can be described as?,City Growth,[Urban Sprawl],Civic Spread,Which gas is used to fill incandescent light bulbs?,[Argon],Nitrogen,Helium,In what year was the Anglo Irish Agreement signed between Britain and Ireland?,1990,1980,[1985],What are two lines that run alongside each other and never meet called?,[Parallel],X,X,In which Shakespearean play is Antonio the main Character?,Othello,[The Merchant Of Venice],The Two Gentlemen of Verona
201,In which sport might you do a slam dunk?,Netball,[Basketball],American Football,Residential areas towards the edge of the cities are known as? ,[Suburbs],City Fringes,Outskirts,What gas is most common in the Earth's atmosphere?,[Nitrogen],Oxygen,Argon,In what year did the IRA call its first ceasefire?,1992,1993,[1994],What is a flat 2D shape with 10 sides called?,[Decagon],X,X,"Who wrote the novel ""To Kill a Mockingbird""?",Scott Fitzgerald,[Harper Lee],Mark Twain
202,In which sport might you get a free throw?,Volleyball,[Basketball],Netball,"What is a town peripheral to a city, which houses commuter workers, called?",[Dormitory Town],Commuter Town,Worker Town,What percentage of the air is comprised of hydrogen?,[0%],11%,5%,In 1932 who was elected Taoiseach of Ireland?,W T Cosgrave,John A Costello,[Éamon De Valera],"If a line forms a 90° angle with another line, the lines are said to be what to one another?",[Perpendicular],Adjacent ,Parallel,"In the novel ""Animal Farm"" which animals become the leaders of the farm?",The Cows,[The Pigs],The Dogs
203,In which sport might you get an eagle?,Snooker,[Golf],Cricket,What is an area of slum housing often on the edge of a city called?,[A Shanty Town],Hovels,A Slum Town,The rusting of iron is a chemical change. True or false?,[TRUE],FALSE,X,In what year was Pádraig Pearse born?,1882,1885,[1879],Does a trapezium have only 1 set of parallel lines?,[Yes ],No,X,"In the novel ""Animal Farm"" what animal is boxer?",A Bull,[A Horse],A Goat
204,In which sport might you score a maximum break of 147?,Darts,[Snooker],Ice Hockey,What is the capital city of Australia?,[Canberra],Sydney,Melbourne,Is the boiling point of water a chemical change?,[No],Yes,X,What year did Pádraig Pearse join the Gaelic League?,1898,1902,[1896],How many lines of symmetry does a rhombus have?,[2],4,8,Which Patrick Kavanagh novel is about a young poet farmer from Cavan?,The Great Hunger,[Tarry Flynn],The Green Fool
205,In darts what is the maximum score you can achieve by throwing 3 darts?,280,150,[180],What is planting trees on land not previously used for forestry known as?,[Afforestation],Deforestation,Reforestation,What technique is used to separate two liquids?,[Distillation],Titration,Evaporation,In 1908 what was the name of the school opened by Pádraig Pearse? ,St. Thomas's (Scoil Thomás),St  Patrick's (Scoil Phádraig),[St Enda's (Scoil Éanna)],What is the name of the formula used to solve quadratic algebraic equations?,[-b formula],Logarithm, x  formula,Holden Caulfield is a character from which J D Salinger Novel?,Franny and Zooey,[The Catcher in the Rye],Nine Stories
206,Of which company is Mark Zuckerberg a co-founder? ,Snapchat,Google,[Facebook],In the monsoon regions what crop is most heavily cultivated?,[Rice],Tea Leaves,Sugar Beet,What can miscible liquids easily do?,[Mix],Pour,Separate,"In 1916, who read the Proclamation of the Irish Republic outside the GPO?",Thomas MacDonagh,James Connolly,[Pádraig  Pearse],What is a pair of equations which have two or more unknowns of the same value in each equation called?,[Simultaneous equations] ,Linear equations,Quadratic equations,"Which W B Yeats love poem was inspired by Maud Gonne, who he compared to Helen of Troy?",The Second Coming,[No Second Troy],The Rose of Battle
207,Bill Gates was a founder of which technology company? ,Dell,Apple,[Microsoft],The Campbell Strokes recorder measures what?,[Sunshine],Rainfall,Wind Speed,What can Immiscible liquids not easily do?,[Mix],Separate,Pour,On what date in 1916 did the Easter Rising begin?,March 25th,April 20th,[April 25th],153 -18 + 47 =,[182],193,175,The Great Lockout of 1913 was the inspiration for which W B Yeats poem?,The Rose of Battle,[September 1913],On Being Asked for A war Poem
208,Steve Jobs was a co-founder of which company? ,Google,Samsung,[Apple],Humidity refers to the amount of what in the air?,[Water],Oxygen,Heat,Are water and alcohol miscible or immiscible?,[Miscible],Immiscible,X,On the 3rd of May 1916 which leader of the Irish revolution was killed?,James Connolly,Joseph Mary Plunkett,[Pádraig Pearse],A variable is the symbol for a number in an equation whose value we don't yet know. True or False?,[TRUE],FALSE,X,"Complete the title of this W B Yeats poem ""Sailing to________""?",Battle,[Byzantium],The Lake Isle of Innisfree
209,Which country has the largest population in the world?,USA,India,[China],What is the opposite process to precipitation?,[Evaporation],Melting,Soaking,Are water and oil miscible or immiscible?,[Immiscible],Miscible,X,On May 14th of what year was the Jewish nation of Israel founded by U.N. mandate?,1938,1950,[1948]," In algebra,  x  +  x  is the same as  x  squared. True or false?",[FALSE],TRUE,X,"""When the black herds of the rain were grazing in a line"" is from which Austin Clarke poem?",The Planter's Daughter,[The Lost Heifer],The Blackbird of Derrycairn
210,Name the largest country in the world? ,Brazil,USA,[Russia],Sleet is a form of precipitation. True or False?,[TRUE],FALSE,X,What is the process of pouring off clear liquid known as?,[Decant],Distil,Strain,"In what year did the ""Cold War"" begin, pitting communism against democracy?",1948,1950,[1947],(44 x 5) - 23 =,[197],207,217,"Who is the author of ""Huckleberry Finn""?",Ernest Hemingway,[Mark Twain],William Faulkner
211,Which Italian city is famous for its canals?,Milan,Florence,[Venice],Does wind move from regions of high pressure to those of low pressure?,[Yes],No,X,How do we refer to a solution which cannot dissolve any more of a solute?,[Saturated],Perforated,Soaked,What war ended in 1945?,[World War II],X,X,What is the formula used to find the speed of something?,[Speed  = Distance/Time],X,X,"What is the name of the stablehand in Steinbeck's ""Of Mice and Men""?",Curley,[Crooks],Carlson
212,"In which US city would you find Manhattan, Brooklyn and the Bronx?",Los Angeles,San Francisco,[New York],Softer sections of the coast erode faster. True or False?,[TRUE],FALSE,X,What method would you use to separate sugar and sand?,[Filtration],Distillation,Titration,In 1941 Japan made World War II global by attacking which Harbour?,[Pearl Harbour],Long Beach Harbour,New York Harbour,"On a distance-time graph, what does it mean when there is a horizontal line on the graph?",The object is moving further,[The object is stationary],The object is going steadily,"Who Wrote the book ""The Great Gatsby""?",T S Eliot,[Scott Fitzgerald],Mark Twain
213,In which city would you find the West End?,New York,Los Angeles,[London],When two sea caves join up what is formed?,[Sea Arch],Sea Tunnel,Sea Crater,What is the name given to a liquid in which another substance dissolves?,[Solvent],Soluble,Protons,In what year did Adolf Hitler lead Germany and the World into a second World War?,[1939],1938,1940,On a speed-time graph is speed always placed on the y axis?,No,[Yes],X,In which poem by Patrick Kavanagh does he invoke the spirit of Monaghan?,Iniskeen Road,[Stony Grey Soil],Peace
214,In which European city would you find The Spire?,Edinburgh,London,[Dublin],What are hills of sand piled up by the wind on the coastline known as?,[Sand Dunes],Sand Hills,Sand Mounds,Is oxygen used up in burning?,[Yes],No,X,In what year did the great depression sweep the world?,[1929],1928,1930,What does zero slope on a speed-time graph mean?,The object is accelerating,[An object is moving at a constant speed],The object has stopped,"""You flung a ditch on my vision of beauty, love and truth"" are lines from which Patrick Kavanagh poem?",Advent,[Stony Grey Soil],In Memory of my Mother
215,In which French city would you find The Eiffel Tower?,Marseille,Nice,[Paris],Which one of these igneous rocks is common in Ireland?,[Basalt],Andesite,Dacite,Is oxygen used up when rusting occurs?,[Yes],No,X,In 1917 which country declared war on Germany?,[USA],Russia,France,What do you call an irrational number that can be written as the square root of a rational number?,Root,[Surd],Complex number,"Complete the title of this Patrick Kavanagh poem, ""Memory of my __________?",Brother,[Father],Sister
216,"In music, what decade was the disco era?",1990s,1980s,[1970s],"In a volcano, when magma reaches the surface what it is called?",[Lava],Ashes,Molten Rock,Is there more or less than 1% of carbon dioxide in air?,[Less],More,X,The United States of America was founded in what year?,[1776],1775,1765,Is √3 a surd?,No,[Yes],X,Marianne and Connell are the main characters in which Sally Rooney novel?,Mr Salary: Faber Stories,[Normal People],Conversations with Friends
217,Which type of boats are most associated with canals?,Gondolas,Deck boats,[Barges],Lava which cools slowly underground forms what type of rock?,[Granite],Basalt,Obsidian,What chemical is used when testing for glucose in a food?,[Benedict's Solution],Biuret Solution,Iodine,"How long did the Korean War, that began in 1950, last for?",[3 years],4 years ,2 years ,Is this one of the laws of surds: √a√a  = a?,No,[Yes],X,"""Fern Hill"" was written by which Welsh poet?",Dannie Abse,[Dylan Thomas],R S Thomas
218,Which desert covers much of northern Africa?,Gobi Desert,Arabian Desert,[Sahara Desert],What rock is formed by the remains of marine animals?,[Limestone],Sandstone,Shale,Does ammonia change litmus paper blue or red?,[Blue],Red ,Black,In 1964 which war involving the United States of America began?,[Vietnam War],Korean War,Gulf War,Solve √2  x  5,√10,[5√2],√2√5,"Which English author wrote ""The Hobbit""?",Jonathan Swift,[J R R Tolkien],John Milton
219,What colour jersey is won by the leader in the Tour de France?,Blue,White,[Yellow],What type of rock is Limestone?,[Sedimentary],Igneous,Metamorphic,Burning sulphur emits a blue flame. True or False?,[TRUE],FALSE,X,On July 20th 1969 where did US astronauts land? ,[The Moon],X,X,99 -29 + 63 =,160,[133],137,"""Fear no more the heat o' the sun"" is a poem by which English poet?",Jane Austen,[William Shakespeare],Emily Bronte
220,What colour belts do martial arts experts wear?,White,Purple,[Black],At what angle is the Earth tilted on its axis?,[66.5˚],60˚,45.5˚,What gas is used to fill hot air balloons?,[Helium],Hydrogen,Oxygen,What was the name of the spacecraft that landed on the moon in 1969?,[Apollo 11],Challenger ,Apollo 7,What is a sequence that involves the doubling or tripling of numbers called?,Geometric sequence,[Exponential sequence],Arithmetic sequence,"Complete the title of John Milton's poem ""Paradise______?""",Forever,[Lost],Island
221,What is the name of Manchester United’s home ground?,The Etihad,Wembley,[Old Trafford],On an equinox the sun shines vertically over which part of the earth?,[Equator],Northern Pole,South Pole,Potassium is an alkali metal. True or false?,[TRUE],FALSE,X,In what year did the Berlin Wall come down?,[1990],1989,1991,39 + 78 - 11 =,117,[106],128,"Which American writer wrote the poems ""Caged Bird"" and ""Still I Rise""?",Louisa May Alcott,[Maya Angelou],Emily Dickinson
222,What is the name of Liverpool FC's home ground?,Turf Moor,Stamford Bridge,[Anfield],"On an equinox, day and night are equal length throughout the world. True or False?",[TRUE],FALSE,X,The volume of nitrogen in the air is more or less than 70%?,[More],Less,X,"When Columbus sailed across the Atlantic in 1492, what was the name of his largest ship?",[Santa María],Niña ,Pinta,"Is this a linear sequence: 4, 8, 12, 16, 20?",No,[Yes],X,"""Mid-term break"" and ""Blackberry-picking"" are poems by which Irish poet?",W B Yeats,[Seamus Heaney],John Montague
223,For which county hurling team did Henry Shefflin play?,Wexford,Tipperary,[Kilkenny],How often does a leap year occur?,[Every 4 years],Every 2 Years,Every 6 Years,Is sulphur soluble in water? Yes or No.,[No],Yes,X,"During World War I, what date did the Battle of the Somme begin?",[16th July 1916],27th May 1915,20th June 1917,What are the objects in a set called?,Figures,[Elements],Characteristics,In which century was metaphysical poetry written: the 17th or 18th?,18th Century,[17th Century],X
224,For which county hurling team did Lar Corbett play?,Clare,Limerick,[Tipperary],How many planets make up our solar system?,[8],9,10,Is sulphur dioxide acidic or basic?,[Acidic],Basic,X,What year did the First Crusade begin?,[1096],1054,1195,What type of diagram is used to represent sets?,[Venn Diagrams],X,X,Did Shakespeare write more or less than 150 Sonnets?,Less,[More],X
225,For which county football team does Stephen Cluxton play?,Donegal,Kerry,[Dublin],Does the Earth rotate from West to East or East to West,[West to East],East to west,X,Is ammonia alkaline or acidic? ,[Alkaline],Acidic,X,In what year did Albert Einstein win the Nobel Prize for Physics?,[1921],1925,1922,What is the cardinal number of a set?,[The number of elements in a set],The average number of a set,The element of lowest value in a set,Was William Wordsworth born in the 18th or 19th century?,19th Century,[18th Century ],X
